toolId,enabled,indexable,slug,matrizEstado,matrizPublicar,matrizResolucion,conHarnessE2E,detalle,estadoReal
excelToHtml,excelToHtml,si,si,excel-a-html,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
excelToMarkdown,excelToMarkdown,si,si,excel-a-markdown,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
xmlToExcel,xmlToExcel,si,si,xml-a-excel,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvStatistics,csvStatistics,si,si,estadisticas-csv,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvFilter,csvFilter,si,si,filtrar-csv,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvSort,csvSort,si,si,ordenar-csv,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvToSql,csvToSql,si,si,csv-a-sql,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
jsonFormatter,jsonFormatter,si,si,formatear-json,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
excelToXml,excelToXml,si,si,excel-a-xml,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
jsonValidator,jsonValidator,si,si,validar-json,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
